x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
0;zéro;zéro;;;;
1;un;une;premier;première;1er;1ère
2;deux;deux;deuxième;deuxième;2ème;2ème
3;trois;trois;troisième;troisième;3ème;3ème
4;quatre;quatre;quatrième;quatrième;4ème;4ème
5;cinq;cinq;cinquième;cinquième;5ème;5ème
6;six;six;sixième;sixième;6ème;6ème
7;sept;sept;septième;septième;7ème;7ème
8;huit;huit;huitième;huitième;8ème;8ème
9;neuf;neuf;neuvième;neuvième;9ème;9ème
10;dix;dix;dixième;dixième;10ème;10ème
11;onze;onze;onzième;onzième;11ème;11ème
12;douze;douze;douzième;douzième;12ème;12ème
13;treize;treize;treizième;treizième;13ème;13ème
14;quatorze;quatorze;quatorzième;quatorzième;14ème;14ème
15;quinze;quinze;quinzième;quinzième;15ème;15ème
16;seize;seize;seizième;seizième;16ème;16ème
17;dix-sept;dix-sept;dix-septième;dix-septième;17ème;17ème
18;dix-huit;dix-huit;dix-huitième;dix-huitième;18ème;18ème
19;dix-neuf;dix-neuf;dix-neuvième;dix-neuvième;19ème;19ème
20;vingt;vingt;vingtième;vingtième;20ème;20ème
21;vingt-et-un;vingt-et-un;vingt-et-unième;vingt-et-unième;21ème;21ème
22;vingt-deux;vingt-deux;vingt-deuxième;vingt-deuxième;22ème;22ème
23;vingt-trois;vingt-trois;vingt-troisième;vingt-troisième;23ème;23ème
24;vingt-quatre;vingt-quatre;vingt-quatrième;vingt-quatrième;24ème;24ème
25;vingt-cinq;vingt-cinq;vingt-cinquième;vingt-cinquième;25ème;25ème
26;vingt-six;vingt-six;vingt-sixième;vingt-sixième;26ème;26ème
27;vingt-sept;vingt-sept;vingt-septième;vingt-septième;27ème;27ème
28;vingt-huit;vingt-huit;vingt-huitième;vingt-huitième;28ème;28ème
29;vingt-neuf;vingt-neuf;vingt-neuvième;vingt-neuvième;29ème;29ème
30;trente;trente;trentième;trentième;30ème;30ème
31;trente-et-un;trente-et-un;trente-et-unième;trente-et-unième;31ème;31ème
32;trente-deux;trente-deux;trente-deuxième;trente-deuxième;32ème;32ème
33;trente-trois;trente-trois;trente-troisième;trente-troisième;33ème;33ème
34;trente-quatre;trente-quatre;trente-quatrième;trente-quatrième;34ème;34ème
35;trente-cinq;trente-cinq;trente-cinquième;trente-cinquième;35ème;35ème
36;trente-six;trente-six;trente-sixième;trente-sixième;36ème;36ème
37;trente-sept;trente-sept;trente-septième;trente-septième;37ème;37ème
38;trente-huit;trente-huit;trente-huitième;trente-huitième;38ème;38ème
39;trente-neuf;trente-neuf;trente-neuvième;trente-neuvième;39ème;39ème
40;quarante;quarante;quarantième;quarantième;40ème;40ème
41;quarante-et-un;quarante-et-un;quarante-et-unième;quarante-et-unième;41ème;41ème
42;quarante-deux;quarante-deux;quarante-deuxième;quarante-deuxième;42ème;42ème
43;quarante-trois;quarante-trois;quarante-troisième;quarante-troisième;43ème;43ème
44;quarante-quatre;quarante-quatre;quarante-quatrième;quarante-quatrième;44ème;44ème
45;quarante-cinq;quarante-cinq;quarante-cinquième;quarante-cinquième;45ème;45ème
46;quarante-six;quarante-six;quarante-sixième;quarante-sixième;46ème;46ème
47;quarante-sept;quarante-sept;quarante-septième;quarante-septième;47ème;47ème
48;quarante-huit;quarante-huit;quarante-huitième;quarante-huitième;48ème;48ème
49;quarante-neuf;quarante-neuf;quarante-neuvième;quarante-neuvième;49ème;49ème
50;cinquante;cinquante;cinquantième;cinquantième;50ème;50ème
51;cinquante-et-un;cinquante-et-un;cinquante-et-unième;cinquante-et-unième;51ème;51ème
52;cinquante-deux;cinquante-deux;cinquante-deuxième;cinquante-deuxième;52ème;52ème
53;cinquante-trois;cinquante-trois;cinquante-troisième;cinquante-troisième;53ème;53ème
54;cinquante-quatre;cinquante-quatre;cinquante-quatrième;cinquante-quatrième;54ème;54ème
55;cinquante-cinq;cinquante-cinq;cinquante-cinquième;cinquante-cinquième;55ème;55ème
56;cinquante-six;cinquante-six;cinquante-sixième;cinquante-sixième;56ème;56ème
57;cinquante-sept;cinquante-sept;cinquante-septième;cinquante-septième;57ème;57ème
58;cinquante-huit;cinquante-huit;cinquante-huitième;cinquante-huitième;58ème;58ème
59;cinquante-neuf;cinquante-neuf;cinquante-neuvième;cinquante-neuvième;59ème;59ème
60;soixante ;soixante ;soixante ième;soixante ième;60ème;60ème
61;soixante-et-un ;soixante-et-un ;soixante-et-un ième;soixante-et-un ième;61ème;61ème
62;soixante-deux ;soixante-deux ;soixante-deux ième;soixante-deux ième;62ème;62ème
63;soixante-trois ;soixante-trois ;soixante-trois ième;soixante-trois ième;63ème;63ème
64;soixante-quatre ;soixante-quatre ;soixante-quatre ième;soixante-quatre ième;64ème;64ème
65;soixante-cinq ;soixante-cinq ;soixante-cinq ième;soixante-cinq ième;65ème;65ème
66;soixante-six ;soixante-six ;soixante-six ième;soixante-six ième;66ème;66ème
67;soixante-sept ;soixante-sept ;soixante-sept ième;soixante-sept ième;67ème;67ème
68;soixante-huit ;soixante-huit ;soixante-huit ième;soixante-huit ième;68ème;68ème
69;soixante-neuf;soixante-neuf;soixante-neuvième;soixante-neuvième;69ème;69ème
70;soixante-dix ;soixante-dix ;soixante-dix ième;soixante-dix ième;70ème;70ème
71;soixante-et-onze ;soixante-et-onze ;soixante-et-onze ième;soixante-et-onze ième;71ème;71ème
72;soixante-douze ;soixante-douze ;soixante-douze ième;soixante-douze ième;72ème;72ème
73;soixante-treize ;soixante-treize ;soixante-treize ième;soixante-treize ième;73ème;73ème
74;soixante-quatorze ;soixante-quatorze ;soixante-quatorze ième;soixante-quatorze ième;74ème;74ème
75;soixante-quinze ;soixante-quinze ;soixante-quinze ième;soixante-quinze ième;75ème;75ème
76;soixante-seize ;soixante-seize ;soixante-seize ième;soixante-seize ième;76ème;76ème
77;soixante-dix-sept ;soixante-dix-sept ;soixante-dix-sept ième;soixante-dix-sept ième;77ème;77ème
78;soixante-dix-huit ;soixante-dix-huit ;soixante-dix-huit ième;soixante-dix-huit ième;78ème;78ème
79;soixante-dix-neuf;soixante-dix-neuf;soixante-dix-neuvième;soixante-dix-neuvième;79ème;79ème
80;quatre-vingts ;quatre-vingts ;quatre-vingts ième;quatre-vingts ième;80ème;80ème
81;quatre-vingt-un ;quatre-vingt-un ;quatre-vingt-un ième;quatre-vingt-un ième;81ème;81ème
82;quatre-vingt-deux ;quatre-vingt-deux ;quatre-vingt-deux ième;quatre-vingt-deux ième;82ème;82ème
83;quatre-vingt-trois ;quatre-vingt-trois ;quatre-vingt-trois ième;quatre-vingt-trois ième;83ème;83ème
84;quatre-vingt-quatre ;quatre-vingt-quatre ;quatre-vingt-quatre ième;quatre-vingt-quatre ième;84ème;84ème
85;quatre-vingt-cinq ;quatre-vingt-cinq ;quatre-vingt-cinq ième;quatre-vingt-cinq ième;85ème;85ème
86;quatre-vingt-six ;quatre-vingt-six ;quatre-vingt-six ième;quatre-vingt-six ième;86ème;86ème
87;quatre-vingt-sept ;quatre-vingt-sept ;quatre-vingt-sept ième;quatre-vingt-sept ième;87ème;87ème
88;quatre-vingt-huit ;quatre-vingt-huit ;quatre-vingt-huit ième;quatre-vingt-huit ième;88ème;88ème
89;quatre-vingt-neuf;quatre-vingt-neuf;quatre-vingt-neuvième;quatre-vingt-neuvième;89ème;89ème
90;quatre-vingt-dix ;quatre-vingt-dix ;quatre-vingt-dix ième;quatre-vingt-dix ième;90ème;90ème
91;quatre-vingt-onze ;quatre-vingt-onze ;quatre-vingt-onze ième;quatre-vingt-onze ième;91ème;91ème
92;quatre-vingt-douze ;quatre-vingt-douze ;quatre-vingt-douze ième;quatre-vingt-douze ième;92ème;92ème
93;quatre-vingt-treize ;quatre-vingt-treize ;quatre-vingt-treize ième;quatre-vingt-treize ième;93ème;93ème
94;quatre-vingt-quatorze ;quatre-vingt-quatorze ;quatre-vingt-quatorze ième;quatre-vingt-quatorze ième;94ème;94ème
95;quatre-vingt-quinze ;quatre-vingt-quinze ;quatre-vingt-quinze ième;quatre-vingt-quinze ième;95ème;95ème
96;quatre-vingt-seize ;quatre-vingt-seize ;quatre-vingt-seize ième;quatre-vingt-seize ième;96ème;96ème
97;quatre-vingt-dix-sept ;quatre-vingt-dix-sept ;quatre-vingt-dix-sept ième;quatre-vingt-dix-sept ième;97ème;97ème
98;quatre-vingt-dix-huit ;quatre-vingt-dix-huit ;quatre-vingt-dix-huit ième;quatre-vingt-dix-huit ième;98ème;98ème
99;quatre-vingt-dix-neuf;quatre-vingt-dix-neuf;quatre-vingt-dix-neuvième;quatre-vingt-dix-neuvième;99ème;99ème
100;cent;cent;centième;centième;100ème;100ème
101;cent-un;cent-un;cent-unième;cent-unième;101ème;101ème
102;cent-deux;cent-deux;cent-deuxième;cent-deuxième;102ème;102ème
103;cent-trois;cent-trois;cent-troisième;cent-troisième;103ème;103ème
104;cent-quatre;cent-quatre;cent-quatrième;cent-quatrième;104ème;104ème
105;cent-cinq;cent-cinq;cent-cinquième;cent-cinquième;105ème;105ème
106;cent-six;cent-six;cent-sixième;cent-sixième;106ème;106ème
107;cent-sept;cent-sept;cent-septième;cent-septième;107ème;107ème
108;cent-huit;cent-huit;cent-huitième;cent-huitième;108ème;108ème
109;cent-neuf ;cent-neuf ;cent-neuf ième;cent-neuf ième;109ème;109ème
110;cent-dix;cent-dix;cent-dixième;cent-dixième;110ème;110ème
111;cent-onze;cent-onze;cent-onzième;cent-onzième;111ème;111ème
112;cent-douze;cent-douze;cent-douzième;cent-douzième;112ème;112ème
113;cent-treize;cent-treize;cent-treizième;cent-treizième;113ème;113ème
114;cent-quatorze;cent-quatorze;cent-quatorzième;cent-quatorzième;114ème;114ème
115;cent-quinze;cent-quinze;cent-quinzième;cent-quinzième;115ème;115ème
116;cent-seize;cent-seize;cent-seizième;cent-seizième;116ème;116ème
117;cent-dix-sept;cent-dix-sept;cent-dix-septième;cent-dix-septième;117ème;117ème
118;cent-dix-huit;cent-dix-huit;cent-dix-huitième;cent-dix-huitième;118ème;118ème
119;cent-dix-neuf;cent-dix-neuf;cent-dix-neuvième;cent-dix-neuvième;119ème;119ème
120;cent-vingt;cent-vingt;cent-vingtième;cent-vingtième;120ème;120ème
121;cent-vingt-et-un;cent-vingt-et-un;cent-vingt-et-unième;cent-vingt-et-unième;121ème;121ème
122;cent-vingt-deux;cent-vingt-deux;cent-vingt-deuxième;cent-vingt-deuxième;122ème;122ème
123;cent-vingt-trois;cent-vingt-trois;cent-vingt-troisième;cent-vingt-troisième;123ème;123ème
124;cent-vingt-quatre;cent-vingt-quatre;cent-vingt-quatrième;cent-vingt-quatrième;124ème;124ème
125;cent-vingt-cinq;cent-vingt-cinq;cent-vingt-cinquième;cent-vingt-cinquième;125ème;125ème
126;cent-vingt-six;cent-vingt-six;cent-vingt-sixième;cent-vingt-sixième;126ème;126ème
127;cent-vingt-sept;cent-vingt-sept;cent-vingt-septième;cent-vingt-septième;127ème;127ème
128;cent-vingt-huit;cent-vingt-huit;cent-vingt-huitième;cent-vingt-huitième;128ème;128ème
129;cent-vingt-neuf;cent-vingt-neuf;cent-vingt-neuvième;cent-vingt-neuvième;129ème;129ème
130;cent-trente;cent-trente;cent-trentième;cent-trentième;130ème;130ème
131;cent-trente-et-un;cent-trente-et-un;cent-trente-et-unième;cent-trente-et-unième;131ème;131ème
132;cent-trente-deux;cent-trente-deux;cent-trente-deuxième;cent-trente-deuxième;132ème;132ème
133;cent-trente-trois;cent-trente-trois;cent-trente-troisième;cent-trente-troisième;133ème;133ème
134;cent-trente-quatre;cent-trente-quatre;cent-trente-quatrième;cent-trente-quatrième;134ème;134ème
135;cent-trente-cinq;cent-trente-cinq;cent-trente-cinquième;cent-trente-cinquième;135ème;135ème
136;cent-trente-six;cent-trente-six;cent-trente-sixième;cent-trente-sixième;136ème;136ème
137;cent-trente-sept;cent-trente-sept;cent-trente-septième;cent-trente-septième;137ème;137ème
138;cent-trente-huit;cent-trente-huit;cent-trente-huitième;cent-trente-huitième;138ème;138ème
139;cent-trente-neuf ;cent-trente-neuf ;cent-trente-neuf ième;cent-trente-neuf ième;139ème;139ème
140;cent-quarante;cent-quarante;cent-quarantième;cent-quarantième;140ème;140ème
141;cent-quarante-et-un;cent-quarante-et-un;cent-quarante-et-unième;cent-quarante-et-unième;141ème;141ème
142;cent-quarante-deux;cent-quarante-deux;cent-quarante-deuxième;cent-quarante-deuxième;142ème;142ème
143;cent-quarante-trois;cent-quarante-trois;cent-quarante-troisième;cent-quarante-troisième;143ème;143ème
144;cent-quarante-quatre;cent-quarante-quatre;cent-quarante-quatrième;cent-quarante-quatrième;144ème;144ème
145;cent-quarante-cinq;cent-quarante-cinq;cent-quarante-cinquième;cent-quarante-cinquième;145ème;145ème
146;cent-quarante-six;cent-quarante-six;cent-quarante-sixième;cent-quarante-sixième;146ème;146ème
147;cent-quarante-sept;cent-quarante-sept;cent-quarante-septième;cent-quarante-septième;147ème;147ème
148;cent-quarante-huit;cent-quarante-huit;cent-quarante-huitième;cent-quarante-huitième;148ème;148ème
149;cent-quarante-neuf;cent-quarante-neuf;cent-quarante-neuvième;cent-quarante-neuvième;149ème;149ème
150;cent-cinquante;cent-cinquante;cent-cinquantième;cent-cinquantième;150ème;150ème
151;cent-cinquante-et-un;cent-cinquante-et-un;cent-cinquante-et-unième;cent-cinquante-et-unième;151ème;151ème
152;cent-cinquante-deux;cent-cinquante-deux;cent-cinquante-deuxième;cent-cinquante-deuxième;152ème;152ème
153;cent-cinquante-trois;cent-cinquante-trois;cent-cinquante-troisième;cent-cinquante-troisième;153ème;153ème
154;cent-cinquante-quatre;cent-cinquante-quatre;cent-cinquante-quatrième;cent-cinquante-quatrième;154ème;154ème
155;cent-cinquante-cinq;cent-cinquante-cinq;cent-cinquante-cinquième;cent-cinquante-cinquième;155ème;155ème
156;cent-cinquante-six;cent-cinquante-six;cent-cinquante-sixième;cent-cinquante-sixième;156ème;156ème
157;cent-cinquante-sept;cent-cinquante-sept;cent-cinquante-septième;cent-cinquante-septième;157ème;157ème
158;cent-cinquante-huit;cent-cinquante-huit;cent-cinquante-huitième;cent-cinquante-huitième;158ème;158ème
159;cent-cinquante-neuf;cent-cinquante-neuf;cent-cinquante-neuvième;cent-cinquante-neuvième;159ème;159ème
160;cent-soixante;cent-soixante;cent-soixantième;cent-soixantième;160ème;160ème
161;cent-soixante-et-un;cent-soixante-et-un;cent-soixante-et-unième;cent-soixante-et-unième;161ème;161ème
162;cent-soixante-deux;cent-soixante-deux;cent-soixante-deuxième;cent-soixante-deuxième;162ème;162ème
163;cent-soixante-trois;cent-soixante-trois;cent-soixante-troisième;cent-soixante-troisième;163ème;163ème
164;cent-soixante-quatre;cent-soixante-quatre;cent-soixante-quatrième;cent-soixante-quatrième;164ème;164ème
165;cent-soixante-cinq;cent-soixante-cinq;cent-soixante-cinquième;cent-soixante-cinquième;165ème;165ème
166;cent-soixante-six;cent-soixante-six;cent-soixante-sixième;cent-soixante-sixième;166ème;166ème
167;cent-soixante-sept;cent-soixante-sept;cent-soixante-septième;cent-soixante-septième;167ème;167ème
168;cent-soixante-huit;cent-soixante-huit;cent-soixante-huitième;cent-soixante-huitième;168ème;168ème
169;cent-soixante-neuf;cent-soixante-neuf;cent-soixante-neuvième;cent-soixante-neuvième;169ème;169ème
170;cent-soixante-dix;cent-soixante-dix;cent-soixante-dixième;cent-soixante-dixième;170ème;170ème
171;cent-soixante-et-onze;cent-soixante-et-onze;cent-soixante-et-onzième;cent-soixante-et-onzième;171ème;171ème
172;cent-soixante-douze;cent-soixante-douze;cent-soixante-douzième;cent-soixante-douzième;172ème;172ème
173;cent-soixante-treize;cent-soixante-treize;cent-soixante-treizième;cent-soixante-treizième;173ème;173ème
174;cent-soixante-quatorze;cent-soixante-quatorze;cent-soixante-quatorzième;cent-soixante-quatorzième;174ème;174ème
175;cent-soixante-quinze;cent-soixante-quinze;cent-soixante-quinzième;cent-soixante-quinzième;175ème;175ème
176;cent-soixante-seize;cent-soixante-seize;cent-soixante-seizième;cent-soixante-seizième;176ème;176ème
177;cent-soixante-dix-sept;cent-soixante-dix-sept;cent-soixante-dix-septième;cent-soixante-dix-septième;177ème;177ème
178;cent-soixante-dix-huit;cent-soixante-dix-huit;cent-soixante-dix-huitième;cent-soixante-dix-huitième;178ème;178ème
179;cent-soixante-dix-neuf;cent-soixante-dix-neuf;cent-soixante-dix-neuvième;cent-soixante-dix-neuvième;179ème;179ème
180;cent-quatre-vingts;cent-quatre-vingts;cent-quatre-vingtsième;cent-quatre-vingtsième;180ème;180ème
181;cent-quatre-vingt-un;cent-quatre-vingt-un;cent-quatre-vingt-unième;cent-quatre-vingt-unième;181ème;181ème
182;cent-quatre-vingt-deux;cent-quatre-vingt-deux;cent-quatre-vingt-deuxième;cent-quatre-vingt-deuxième;182ème;182ème
183;cent-quatre-vingt-trois;cent-quatre-vingt-trois;cent-quatre-vingt-troisième;cent-quatre-vingt-troisième;183ème;183ème
184;cent-quatre-vingt-quatre;cent-quatre-vingt-quatre;cent-quatre-vingt-quatrième;cent-quatre-vingt-quatrième;184ème;184ème
185;cent-quatre-vingt-cinq;cent-quatre-vingt-cinq;cent-quatre-vingt-cinquième;cent-quatre-vingt-cinquième;185ème;185ème
186;cent-quatre-vingt-six;cent-quatre-vingt-six;cent-quatre-vingt-sixième;cent-quatre-vingt-sixième;186ème;186ème
187;cent-quatre-vingt-sept;cent-quatre-vingt-sept;cent-quatre-vingt-septième;cent-quatre-vingt-septième;187ème;187ème
188;cent-quatre-vingt-huit;cent-quatre-vingt-huit;cent-quatre-vingt-huitième;cent-quatre-vingt-huitième;188ème;188ème
189;cent-quatre-vingt-neuf;cent-quatre-vingt-neuf;cent-quatre-vingt-neuvième;cent-quatre-vingt-neuvième;189ème;189ème
190;cent-quatre-vingt-dix;cent-quatre-vingt-dix;cent-quatre-vingt-dixième;cent-quatre-vingt-dixième;190ème;190ème
191;cent-quatre-vingt-onze;cent-quatre-vingt-onze;cent-quatre-vingt-onzième;cent-quatre-vingt-onzième;191ème;191ème
192;cent-quatre-vingt-douze;cent-quatre-vingt-douze;cent-quatre-vingt-douzième;cent-quatre-vingt-douzième;192ème;192ème
193;cent-quatre-vingt-treize;cent-quatre-vingt-treize;cent-quatre-vingt-treizième;cent-quatre-vingt-treizième;193ème;193ème
194;cent-quatre-vingt-quatorze;cent-quatre-vingt-quatorze;cent-quatre-vingt-quatorzième;cent-quatre-vingt-quatorzième;194ème;194ème
195;cent-quatre-vingt-quinze;cent-quatre-vingt-quinze;cent-quatre-vingt-quinzième;cent-quatre-vingt-quinzième;195ème;195ème
196;cent-quatre-vingt-seize;cent-quatre-vingt-seize;cent-quatre-vingt-seizième;cent-quatre-vingt-seizième;196ème;196ème
197;cent-quatre-vingt-dix-sept;cent-quatre-vingt-dix-sept;cent-quatre-vingt-dix-septième;cent-quatre-vingt-dix-septième;197ème;197ème
198;cent-quatre-vingt-dix-huit;cent-quatre-vingt-dix-huit;cent-quatre-vingt-dix-huitième;cent-quatre-vingt-dix-huitième;198ème;198ème
199;cent-quatre-vingt-dix-neuf;cent-quatre-vingt-dix-neuf;cent-quatre-vingt-dix-neuvième;cent-quatre-vingt-dix-neuvième;199ème;199ème
200;deux-cents;deux-cents;deux-centsième;deux-centsième;200ème;200ème
201;deux-cent-un;deux-cent-un;deux-cent-unième;deux-cent-unième;201ème;201ème
202;deux-cent-deux;deux-cent-deux;deux-cent-deuxième;deux-cent-deuxième;202ème;202ème
203;deux-cent-trois;deux-cent-trois;deux-cent-troisième;deux-cent-troisième;203ème;203ème
204;deux-cent-quatre;deux-cent-quatre;deux-cent-quatrième;deux-cent-quatrième;204ème;204ème
205;deux-cent-cinq;deux-cent-cinq;deux-cent-cinquième;deux-cent-cinquième;205ème;205ème
206;deux-cent-six;deux-cent-six;deux-cent-sixième;deux-cent-sixième;206ème;206ème
207;deux-cent-sept;deux-cent-sept;deux-cent-septième;deux-cent-septième;207ème;207ème
208;deux-cent-huit;deux-cent-huit;deux-cent-huitième;deux-cent-huitième;208ème;208ème
209;deux-cent-neuf ;deux-cent-neuf ;deux-cent-neuf ième;deux-cent-neuf ième;209ème;209ème
210;deux-cent-dix;deux-cent-dix;deux-cent-dixième;deux-cent-dixième;210ème;210ème
211;deux-cent-onze;deux-cent-onze;deux-cent-onzième;deux-cent-onzième;211ème;211ème
212;deux-cent-douze;deux-cent-douze;deux-cent-douzième;deux-cent-douzième;212ème;212ème
213;deux-cent-treize;deux-cent-treize;deux-cent-treizième;deux-cent-treizième;213ème;213ème
214;deux-cent-quatorze;deux-cent-quatorze;deux-cent-quatorzième;deux-cent-quatorzième;214ème;214ème
215;deux-cent-quinze;deux-cent-quinze;deux-cent-quinzième;deux-cent-quinzième;215ème;215ème
216;deux-cent-seize;deux-cent-seize;deux-cent-seizième;deux-cent-seizième;216ème;216ème
217;deux-cent-dix-sept;deux-cent-dix-sept;deux-cent-dix-septième;deux-cent-dix-septième;217ème;217ème
218;deux-cent-dix-huit;deux-cent-dix-huit;deux-cent-dix-huitième;deux-cent-dix-huitième;218ème;218ème
219;deux-cent-dix-neuf;deux-cent-dix-neuf;deux-cent-dix-neuvième;deux-cent-dix-neuvième;219ème;219ème
220;deux-cent-vingt;deux-cent-vingt;deux-cent-vingtième;deux-cent-vingtième;220ème;220ème
221;deux-cent-vingt-et-un;deux-cent-vingt-et-un;deux-cent-vingt-et-unième;deux-cent-vingt-et-unième;221ème;221ème
222;deux-cent-vingt-deux;deux-cent-vingt-deux;deux-cent-vingt-deuxième;deux-cent-vingt-deuxième;222ème;222ème
223;deux-cent-vingt-trois;deux-cent-vingt-trois;deux-cent-vingt-troisième;deux-cent-vingt-troisième;223ème;223ème
224;deux-cent-vingt-quatre;deux-cent-vingt-quatre;deux-cent-vingt-quatrième;deux-cent-vingt-quatrième;224ème;224ème
225;deux-cent-vingt-cinq;deux-cent-vingt-cinq;deux-cent-vingt-cinquième;deux-cent-vingt-cinquième;225ème;225ème
226;deux-cent-vingt-six;deux-cent-vingt-six;deux-cent-vingt-sixième;deux-cent-vingt-sixième;226ème;226ème
227;deux-cent-vingt-sept;deux-cent-vingt-sept;deux-cent-vingt-septième;deux-cent-vingt-septième;227ème;227ème
228;deux-cent-vingt-huit;deux-cent-vingt-huit;deux-cent-vingt-huitième;deux-cent-vingt-huitième;228ème;228ème
229;deux-cent-vingt-neuf;deux-cent-vingt-neuf;deux-cent-vingt-neuvième;deux-cent-vingt-neuvième;229ème;229ème
230;deux-cent-trente;deux-cent-trente;deux-cent-trentième;deux-cent-trentième;230ème;230ème
231;deux-cent-trente-et-un;deux-cent-trente-et-un;deux-cent-trente-et-unième;deux-cent-trente-et-unième;231ème;231ème
232;deux-cent-trente-deux;deux-cent-trente-deux;deux-cent-trente-deuxième;deux-cent-trente-deuxième;232ème;232ème
233;deux-cent-trente-trois;deux-cent-trente-trois;deux-cent-trente-troisième;deux-cent-trente-troisième;233ème;233ème
234;deux-cent-trente-quatre;deux-cent-trente-quatre;deux-cent-trente-quatrième;deux-cent-trente-quatrième;234ème;234ème
235;deux-cent-trente-cinq;deux-cent-trente-cinq;deux-cent-trente-cinquième;deux-cent-trente-cinquième;235ème;235ème
236;deux-cent-trente-six;deux-cent-trente-six;deux-cent-trente-sixième;deux-cent-trente-sixième;236ème;236ème
237;deux-cent-trente-sept;deux-cent-trente-sept;deux-cent-trente-septième;deux-cent-trente-septième;237ème;237ème
238;deux-cent-trente-huit;deux-cent-trente-huit;deux-cent-trente-huitième;deux-cent-trente-huitième;238ème;238ème
239;deux-cent-trente-neuf;deux-cent-trente-neuf;deux-cent-trente-neuvième;deux-cent-trente-neuvième;239ème;239ème
240;deux-cent-quarante;deux-cent-quarante;deux-cent-quarantième;deux-cent-quarantième;240ème;240ème
241;deux-cent-quarante-et-un;deux-cent-quarante-et-un;deux-cent-quarante-et-unième;deux-cent-quarante-et-unième;241ème;241ème
242;deux-cent-quarante-deux;deux-cent-quarante-deux;deux-cent-quarante-deuxième;deux-cent-quarante-deuxième;242ème;242ème
243;deux-cent-quarante-trois;deux-cent-quarante-trois;deux-cent-quarante-troisième;deux-cent-quarante-troisième;243ème;243ème
244;deux-cent-quarante-quatre;deux-cent-quarante-quatre;deux-cent-quarante-quatrième;deux-cent-quarante-quatrième;244ème;244ème
245;deux-cent-quarante-cinq;deux-cent-quarante-cinq;deux-cent-quarante-cinquième;deux-cent-quarante-cinquième;245ème;245ème
246;deux-cent-quarante-six;deux-cent-quarante-six;deux-cent-quarante-sixième;deux-cent-quarante-sixième;246ème;246ème
247;deux-cent-quarante-sept;deux-cent-quarante-sept;deux-cent-quarante-septième;deux-cent-quarante-septième;247ème;247ème
248;deux-cent-quarante-huit;deux-cent-quarante-huit;deux-cent-quarante-huitième;deux-cent-quarante-huitième;248ème;248ème
249;deux-cent-quarante-neuf;deux-cent-quarante-neuf;deux-cent-quarante-neuvième;deux-cent-quarante-neuvième;249ème;249ème
250;deux-cent-cinquante;deux-cent-cinquante;deux-cent-cinquantième;deux-cent-cinquantième;250ème;250ème
251;deux-cent-cinquante-et-un;deux-cent-cinquante-et-un;deux-cent-cinquante-et-unième;deux-cent-cinquante-et-unième;251ème;251ème
252;deux-cent-cinquante-deux;deux-cent-cinquante-deux;deux-cent-cinquante-deuxième;deux-cent-cinquante-deuxième;252ème;252ème
253;deux-cent-cinquante-trois;deux-cent-cinquante-trois;deux-cent-cinquante-troisième;deux-cent-cinquante-troisième;253ème;253ème
254;deux-cent-cinquante-quatre;deux-cent-cinquante-quatre;deux-cent-cinquante-quatrième;deux-cent-cinquante-quatrième;254ème;254ème
255;deux-cent-cinquante-cinq;deux-cent-cinquante-cinq;deux-cent-cinquante-cinquième;deux-cent-cinquante-cinquième;255ème;255ème
256;deux-cent-cinquante-six;deux-cent-cinquante-six;deux-cent-cinquante-sixième;deux-cent-cinquante-sixième;256ème;256ème
257;deux-cent-cinquante-sept;deux-cent-cinquante-sept;deux-cent-cinquante-septième;deux-cent-cinquante-septième;257ème;257ème
258;deux-cent-cinquante-huit;deux-cent-cinquante-huit;deux-cent-cinquante-huitième;deux-cent-cinquante-huitième;258ème;258ème
259;deux-cent-cinquante-neuf;deux-cent-cinquante-neuf;deux-cent-cinquante-neuvième;deux-cent-cinquante-neuvième;259ème;259ème
260;deux-cent-soixante;deux-cent-soixante;deux-cent-soixantième;deux-cent-soixantième;260ème;260ème
261;deux-cent-soixante-et-un;deux-cent-soixante-et-un;deux-cent-soixante-et-unième;deux-cent-soixante-et-unième;261ème;261ème
262;deux-cent-soixante-deux;deux-cent-soixante-deux;deux-cent-soixante-deuxième;deux-cent-soixante-deuxième;262ème;262ème
263;deux-cent-soixante-trois;deux-cent-soixante-trois;deux-cent-soixante-troisième;deux-cent-soixante-troisième;263ème;263ème
264;deux-cent-soixante-quatre;deux-cent-soixante-quatre;deux-cent-soixante-quatrième;deux-cent-soixante-quatrième;264ème;264ème
265;deux-cent-soixante-cinq;deux-cent-soixante-cinq;deux-cent-soixante-cinquième;deux-cent-soixante-cinquième;265ème;265ème
266;deux-cent-soixante-six;deux-cent-soixante-six;deux-cent-soixante-sixième;deux-cent-soixante-sixième;266ème;266ème
267;deux-cent-soixante-sept;deux-cent-soixante-sept;deux-cent-soixante-septième;deux-cent-soixante-septième;267ème;267ème
268;deux-cent-soixante-huit;deux-cent-soixante-huit;deux-cent-soixante-huitième;deux-cent-soixante-huitième;268ème;268ème
269;deux-cent-soixante-neuf;deux-cent-soixante-neuf;deux-cent-soixante-neuvième;deux-cent-soixante-neuvième;269ème;269ème
270;deux-cent-soixante-dix;deux-cent-soixante-dix;deux-cent-soixante-dixième;deux-cent-soixante-dixième;270ème;270ème
