x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
624;six-cent-vingt-quatre;six-cent-vingt-quatre;six-cent-vingt-quatrième;six-cent-vingt-quatrième;624ème;624ème
625;six-cent-vingt-cinq;six-cent-vingt-cinq;six-cent-vingt-cinquième;six-cent-vingt-cinquième;625ème;625ème
626;six-cent-vingt-six;six-cent-vingt-six;six-cent-vingt-sixième;six-cent-vingt-sixième;626ème;626ème
627;six-cent-vingt-sept;six-cent-vingt-sept;six-cent-vingt-septième;six-cent-vingt-septième;627ème;627ème
628;six-cent-vingt-huit;six-cent-vingt-huit;six-cent-vingt-huitième;six-cent-vingt-huitième;628ème;628ème
629;six-cent-vingt-neuf;six-cent-vingt-neuf;six-cent-vingt-neuvième;six-cent-vingt-neuvième;629ème;629ème
630;six-cent-trente;six-cent-trente;six-cent-trentième;six-cent-trentième;630ème;630ème
631;six-cent-trente-et-un;six-cent-trente-et-un;six-cent-trente-et-unième;six-cent-trente-et-unième;631ème;631ème
632;six-cent-trente-deux;six-cent-trente-deux;six-cent-trente-deuxième;six-cent-trente-deuxième;632ème;632ème
633;six-cent-trente-trois;six-cent-trente-trois;six-cent-trente-troisième;six-cent-trente-troisième;633ème;633ème
634;six-cent-trente-quatre;six-cent-trente-quatre;six-cent-trente-quatrième;six-cent-trente-quatrième;634ème;634ème
635;six-cent-trente-cinq;six-cent-trente-cinq;six-cent-trente-cinquième;six-cent-trente-cinquième;635ème;635ème
636;six-cent-trente-six;six-cent-trente-six;six-cent-trente-sixième;six-cent-trente-sixième;636ème;636ème
637;six-cent-trente-sept;six-cent-trente-sept;six-cent-trente-septième;six-cent-trente-septième;637ème;637ème
638;six-cent-trente-huit;six-cent-trente-huit;six-cent-trente-huitième;six-cent-trente-huitième;638ème;638ème
639;six-cent-trente-neuf;six-cent-trente-neuf;six-cent-trente-neuvième;six-cent-trente-neuvième;639ème;639ème
640;six-cent-quarante;six-cent-quarante;six-cent-quarantième;six-cent-quarantième;640ème;640ème
641;six-cent-quarante-et-un;six-cent-quarante-et-un;six-cent-quarante-et-unième;six-cent-quarante-et-unième;641ème;641ème
642;six-cent-quarante-deux;six-cent-quarante-deux;six-cent-quarante-deuxième;six-cent-quarante-deuxième;642ème;642ème
643;six-cent-quarante-trois;six-cent-quarante-trois;six-cent-quarante-troisième;six-cent-quarante-troisième;643ème;643ème
644;six-cent-quarante-quatre;six-cent-quarante-quatre;six-cent-quarante-quatrième;six-cent-quarante-quatrième;644ème;644ème
